postJob,company,city_state,date,descrip,dateColect,country,url
Portfolio Manager / Consultant - Analytics and Information (ES), Commonwealth Bank of Australia, – Sydney, Today," AI and big data are changing the world. At CommBank we understand this and have significant focus on using the power of data and analytics to provide unique customer experiences and to transform our business. We are searching for the Head of Data Engineering to join us on this journey. This is a senior leadership role overseeing a team of 200. You will build data pipelines, create data science workbenches, develop frameworks for data visualisation, and hire & grow an amazing team. Our Company Commbank is Australia’s leading provider of financial services including retail, premium, business and institutional banking, funds management, superannuation, insurance, investment and share broking products and services. We are a business with more than 800,000 shareholders and over 52,000 employees.  In recent years, we have undergone a remarkable transformation with our focus on technology, which supports the customer experience. We are now truly recognised as technology leaders.  At CommBank, we’re committed to building a diverse and inclusive workforce reflecting the customers, businesses and communities we serve. As a values driven organisation, we nurture and support our people; through focusing on skill and talent development, collaboration, flexibility and internal promotion. With service in mind at every touch point, we take accountability for the role we play in securing and enhancing the financial wellbeing of people, businesses and communities. At CommBank you can be you! Our Team The Analytics & Information team create the models, data assets and analytics tooling to support all of Commbank. We also build end-to-end analytics applications including digital channels, pricing, credit, customer contact and fraud. We are more than 400 strong, and one of only a few in the market building truly modern data and analytics systems at scale.  Our team incorporates data science, data engineering, system engineering, architecture and program delivery. We run key analytics systems including Hadoop, Teradata and Pega.  We understand that culture and talented people are the keys to success. We have some of Australia’s leading engineers and data scientists, and work hard to create an environment that feels more tech than corporate. What You’ll Do A consultancy and support service will be provided to internal Analytics platform stakeholders across strategy, transformation and customer engagement. Business acumen, consulting and delivery experience will be paired with strong engagement skills to facilitate achievement of our Analytics Platform vision and objectives.  In addition to this, the role has accountability for the estimation team that supports our A&I project and work request pipeline (~$100m pa), estimates, associated processes, and continuously improves our pricebook to ensure consistent estimation. Enabling effective pipeline demand management and engagement ensures that a professional service is experienced by all our stakeholders Specific accountabilities of the role include:Provide strategic consulting support to enable and deliver A&I Transformation, People & Culture initiatives and our Analytics Strategy (including strategy papers and performance/process initiatives)Provide Platform Performance Lead support and co-ordination for all ES/IT Transformation activities (including Quarterly Performance Reviews, Business Plan, Bankable Plan, etc)Support the Customer Engagement Executive Manager and GM of Analytics and Information in any new initiatives that ariseManage relationships with stakeholders, including business units, IT delivery teams and vendorsActively undertake and promote research relating to trends in analytics and information while identifying opportunities beyond the underlying business needs and issues Primary accountability and continuous improvement of the A&I Estimation and Pipeline function, including: the A&I PricebookManagement of the staff involved in delivering all estimates requested from A&I (with support for more complex estimates from A&I Senior Consultants and Delivery areas as needed)Ensuring consistency and co-ordination of the estimation approach for all estimates produced by A&I, including SOPs (Standard Operating Procedures), templates and quality of business interactionsProduction of reliable and efficient Estimates (including Order of Magnitude, Preliminary Cost Estimates, Ball Park Estimates or Business Case estimation) to meet business needs for all projects from simple (tens of thousands of dollars) to complex projects (millions of dollars).Support of the Customer Engagement Managers in customer interactions related to engagement, relationship management, project formation and pricing.Support of the Delivery Managers in terms of demand and supply forecasting, resource and planning and co-ordination activities as requiredEffective influencing and proactive management of stakeholder (internal and external) relationships to ascertain requirements and solutions that support the business outcomes and deliver to the group architecture standards.You You will have a strong consulting mindset, excellent communication and engagement skills as well as delivery background and experience. This is a great opportunity to play a key role in shaping and influencing the analytical direction of the group with great senior management exposure. More specifically:Extensive experience in a consulting/strategy role preferably from a large technology consulting firmBroad experience in applied technology, business intelligence and/or analyticsExperience in senior and executive customer engagement and stakeholder managementExperience in an Analytics environmentExperienced in delivery and demand/supply management (including estimation)Business Intelligence/Analytics/Data project delivery experienceIA01",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=153297&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f96f2568&cb=1516666741927&jobListingId=2643132888
Research Scientist in Applied Biological Modelling, CSIRO, – Hobart, 9 days ago,"Are you a talented quantitative researcher?Assess the risks of the next generation of synthetic biology productsJoin CSIRO Data61, the largest data innovation group in AustraliaThe Position CSIRO's Data61 is seeking a talented quantitative researcher for an exciting role, extending and complementing the skill set in our team of statisticians and probabilistic risk assessment practitioners in Hobart, Tasmania.  You as the successful candidate will be working primarily on the application and development of models that describe and predict how the synthetic biology products, including gene-drive modified organisms, will spread through a landscape and impact target and non-target organisms. Location: Hobart TAS Salary: *CSOF5 - $95K - $103K plus up to 15.4% superannuation CSOF6 - $109K - $128K plus up to 15.4% superannuationTenure: Indefinite Reference: 46741 *NB: This position is offered across two levels, the appointment level will be determined by the qualifications, skills and relevant experience of the successful candidate.To be successful you will need:A doctorate in applied mathematics, quantitative genetics, population ecology or other relevant discipline.Demonstrated expertise in spatio-temporal modelling of population genetics and/or biological populations.High level computational and programming skills, ideally in the R computing language, and a willingness to learn other languages if needed.A demonstrated understanding of probabilistic methods and Bayesian statistical inference.Who we are: The Commonwealth Scientific and Industrial Research Organisation (CSIRO)  At CSIRO, we do the extraordinary every day. We innovate for tomorrow and help improve today - for our customers, all Australians and the world. We imagine. We collaborate. We innovate. We work flexibly at CSIRO Data61, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you.Find out more here:BalanceHow to Apply: Please provide enough information relevant to the selection criteria for this position to enable the assessment panel to determine your suitability. Upload as one document containing your CV/resume and cover letter (Maximum 2MB) Before applying please view the full position details and selection criteria here: Position DetailsApplications will remain open until filled, however we encourage you to submit your application by 1st November 2017 as we will interview suitable candidates from that date onwards.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=55938&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ecf034ea&cb=1516666741928&jobListingId=2640272300
Data Science Analyst, Envato, – Melbourne, Today," (View All Jobs) Work with our friendly and collaborative Analytics team!Be a vital contributor to the company strategyFantastic benefits, flexible hours, Melbourne CBD location Headquartered in Melbourne, Australia, Envato is the leading marketplace for creative assets and creative people. With more than 300 staff and contractors worldwide, we've helped a community of creative sellers earn more than $500 Million. Millions of people around the world choose our marketplace, studio and courses to buy files, hire freelancers, or learn the skills needed to build websites, videos, apps, graphics and more. Recently, JobAdvisor awarded us the title of Australia's Coolest Company for Women and Diversity (2015 and 2016). We were also named as one of the Best Places to Work in Australia in the 2015 and 2016 BRW Awards. You might be surprised to know that not only do we run some of the biggest websites in the world; were also growing really fast!What youll be doing As a data science analyst in the Analytics team at Envato, you will work closely with senior stakeholders, the Analytics Director, Product Managers, and the Business Intelligence unit to analyse data, highlight opportunities and issues for the team.  You will play an instrumental role in understanding and predicting customer behaviour through predictive modelling and segmentation, translating outcomes into clear and actionable insights.  Youll be on the hunt to problem solve and identify root causes of positive and negative trends. You will take part in planning and measuring company KPIs, supporting business goals such as churn prevention and optimising customer search.  Having the ability to manipulate and analyse large, complex data sets and turning them into actionable business insights will have you kicking goals in this role. You will also be required to educate and supervise model implementation and adoption, driving our online customer and revenue growth. (YAY!) What were looking for3+ years experience working in a digital analytics roleBA in statistics/math/computer science advantageExperience in building and maintaining customer based models such as LTV, churn and customer segmentationExperience with data mining and machine learningExtensive knowledge of R and SQLExperience with building models from scratch and implementing them across companyAbility to translate problems into definable actionsPositive, self-motivated, passionate, enthusiastic, a can-do attitudeExperience with big data - a plusAbility to build effective relationships with individuals across all levels of an organisationStrong demonstrated alignment to Envatos valuesA nice person!What we offerA fantastic culture of creatively minded, hard working people who are passionate about Envato and being part of its growth and successFlexible working conditions we want you to love your work but also your life outside of EnvatoWe actively work on creating a safe, inclusive environment free from discriminationA fast paced and progressive environment where everyone has regular interaction with teammates and Envato community members from all over the world!Read more from our staff about why they love working at Envato by visiting www.jobadvisor.com.au/envatoWho should apply? We care deeply about diversity and inclusion at Envato, and welcome applicants of all types, and from all backgrounds. If you think you have the skills and experience needed for this role then we'd like to hear from you. What next? Submit a cover letter, an up to date copy of your resume and answers to the below questions. Good luck!  We care about your privacy. By submitting your application you are agreeing to our Privacy Policy. If youre into reading legal documents or youre keen to know more about how we handle your personal information read our Privacy Policy before you submit your application.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=8095&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7de1ab0c&cb=1516666741930&jobListingId=2550912304
Junior Project Technician/Scientist, WSP, – Avenue, 10 days ago," WSP is looking for a motivated Junior Project Technician/Scientist to work with the Environmental Management Team to provide support for ongoing and new environmental assessment, reclamation and remediation projects. The position is to be staffed in Calgary, with work locations throughout Western Canada.  Key responsibilities will include office and field work with a focus on upstream oil and gas clientele. The ideal candidate will have a background in upstream oil and gas reclamation and remediation projects including Phase 1, 2 and 3 ESAs, with demonstrated experience in Detailed Site Assessments, Vegetation Identification, Reclamation Certificate Applications and Alberta Energy Regulator’s “One-Stop” system. . The role will blend field and office duties and will require travel for trips and assignments. This is a key assignment for the right individual, to provide support and growth of our Environmental Management group in Alberta.  This position is important to the success of our firm and requires a commitment to promote our values, as well as achieving technical goals. RESPONSIBILITIES Participate in the development and execution of site assessment, remediation and reclamation projects across Western Canada Communication with clients, government and stakeholders regarding environmental issues related to industry and oil and gas production Assist in the preparation of budgets, cost-tracking and project status reports Application of current regulatory criteria and guidelines Assist in the preparation and review of technical reports Collect necessary and pertinent field data according to industry standards and WSP protocol and procedures Research, evaluate, analyze and synthesize information Ensure implementation of corporate and client safety programs on all projects Unsupervised performance of field assignments as authorized by Project Managers and Team Leads. Liaise with laboratories, contractors, and other service providers as required Other duties as assigned/required QUALIFICATIONS University degree in environmental science or related discipline Possess a relevant Professional Designation such as RTAg. or be eligible for registration with a recognized institution 3+ years of upstream oil and gas consulting experience Willingness to travel and work outside in inclement weather An enthusiastic attitude and team spirit Excellent written and communication skills The desire to succeed in a dynamic, progressive organization  Offers of employment for safety-sensitive positions involving fieldwork are contingent upon candidates being able to perform key physical tasks of the job as described in the job posting and interview. This may include the ability to work in a variety of environmental conditions, such as remote or isolated areas, working alone, and in inclement weather (within safe and reasonable limits).  To learn more about our firm and the projects we have been involved in, please visit our World of Possibilities microsite. WSP welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.WSP is committed to the principles of employment equity. Only the candidates selected will be contacted. Company: WSP Canada Inc.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=3949&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ade4eb24&cb=1516666741930&jobListingId=2566816885
Postdoctoral Fellowship in Smart Sensor and Health Data, CSIRO, – Brisbane, 5 days ago,"Are you a motivated, early career scientist interested in being involved in dementia research?Do you have, or will shortly obtain, a PhD in Computer Science or Electrical/Biomedical Engineering?Join the CSIRO Health & Biosecurity Team in Herston, QueenslandThe Position: Postdoctoral Fellows are appointed for up to three years and will work closely with a leading Research Scientist or Engineer in their respective field. They carry out innovative, impactful research of strategic importance to CSIRO with the possibility of novel and important scientific outcomes. They present the findings in appropriate publications and at conferences.  CSIRO Health & Biosecurity are seeking a motivated postdoctoral fellow will join a collaborative project between the CSIRO, Mental Health program at QIMR Berghofer, UQ, and RBWH. This study focuses on the very early stage of dementia and is Australia's first younger healthy cohort selected for high risk of dementia. PISA is a multidisciplinary platform that combines cutting-edge bioinformatics, brain imaging and lifestyle monitoring to understand the mechanisms of this devastating disease. As one of the five study cores of PISA, the current project employs smart sensing technology to achieve lifestyle monitoring in everyday life. Your duties will include:Carrying out innovative, impactful research of strategic importance to CSIRO, under the direction of senior research scientists, that will, where possible, lead to novel and important scientific outcomes.Designing and developing novel algorithms for pattern recognition, and examining the relationship between lifestyle factors and risks for dementia.Developing hardware/software prototypes for data acquisition, and cloud solutions for data storage and sharing.Undertaking regular reviews of relevant literature and patents.Producing high quality scientific and/or engineering papers suitable for publication in quality journals, for client reports and granting of patents.Location: Herston, Qld Salary: $80k to $91k plus up to 15.4% superannuation Tenure: Specified term of 3 years Ref no: 54044 To be successful you will have:A doctorate (or will shortly satisfy the requirements of a PhD) in a relevant discipline area, such as Computer Science, Electrical/Biomedical Engineering. Please note: To be eligible for this role you must have no more than 3 years of relevant postdoctoral experience.High level written and oral communication skills with the ability to represent the research team effectively internally and externally, including at national and international conferences.Demonstrated expertise in Machine Learning/Data Mining, Signal Processing, Pattern Recognition.Demonstrated experience of mathematical/analytical approach to address real world questions, and ability to design efficient algorithms to explore big data.Before applying please view the full position details and selection criteria here: Position DetailsAbout UsWe imagine. We collaborate. We innovate. At CSIRO, we do the extraordinary every day. We innovate for tomorrow and help improve today – for our customers, all Australians and the world. We do this by using science and technology to solve real issues. Diversity is the compass that navigates our innovation. We provide an inclusive workplace that respects, values and actively pursues the benefits of a diverse workforce.  We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Find out more Balance How to Apply: Please provide enough information relevant to the selection criteria for this position to enable the assessment panel to determine your suitability, and upload one document containing your CV/resume and cover letter. Applications Close: 10:59pm AEDT, 4 February 2018",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=55938&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d5fc8172&cb=1516666741931&jobListingId=2639146880
Analyst - Data Science & Market Dynamics, NSW Government, – Sydney, 1 days ago,"Analyst - Data Science & Market DynamicsTAFE NSWSydney Greater Metro AreaTotal package of up to $125,600About the RoleYou will be responsible for providing high quality strategic advice by applying data science techniques to analyse labour and training market dynamics and the implications for employment, skills and training. Your role is responsible for high level analytical input to projections of labour and skills demand that inform the delivery of training services by TAFE NSW.Your new roleUndertake rigorous analysis of market dynamics including the interplay of customer, competitor, product and VET market dynamics.Identify market trends using appropriate statistical analysis techniques.Apply analytical and specialist skills to perform customer market segmentation.Provide comprehensive supply and demand analysis and potential implications for training delivery.Skills and ExperienceDemonstrated expertise in undertaking research and analysing data using multiple sources and drawing meaningful insights to support planning directions and decision making including implementing data analytics in a business or educational context.High level analytical skills and innovative thinking together with proven expertise using computational methods and statistical tools to build robust data models.Knowledge and understanding of cloud computing, web based applications and predictive analytics.Demonstrated experience in the use of advanced MS Excel, programming languages such as VBA, Java, SQL, statistical tools such as SPSS, and data analytics platforms and visualisation tools including Power BI, Spotfire, Tableau or similar.About the CompanyTAFE NSW is a leading skills provider in the State delivering relevant, high quality, practical and creative training to grow the NSW economy through ‘One TAFE NSW’. We are seeking experienced and qualified candidates who share our values and commitment to building an innovative culture.TAFE NSW values are: Customer First, Integrity, Collaboration and Excellence.How to ApplyClick here for more information:Information PackagePosition DescriptionFor your application to be considered, you must apply with your most updated resume, a cover letter addressing the target questions and outlining your experience and why you are the right person for the position.Applications Close: Sunday 4th February 2018 at 11:59pm.Targeted QuestionsPlease provide an example of where you have had to provide data analysis with fluctuating and inconsistent data sources?Describe a situation where you have had to provide data analysis to inform planning decisions for the organisation.For specific information regarding the role and responsibilities for this position please contact Jonathan Gertler from the TAFE NSW Modernisation Recruitment Team on (02) 8095 1640.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=43297&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_01e422a7&cb=1516666741933&jobListingId=2642865108
"Manager, Research Analytics Services", Swinburne University of Technology, – Hawthorn, Today,"Attractive salary plus generous staff benefitsNewly created opportunity in our Swinburne Research teamFull-time, ongoing position based in HawthornAbout Swinburne Swinburne University of Technology has a long, proud history of educating and training students for over 100 years. We have an emphasis on high quality, engaged teaching and research in science, technology, business, design and innovation – teaching and research that makes a difference in the lives of individuals and contributes to national economic and social goals. About the job Swinburne University of Technology has an ambitious goal of growth in research performance and impact, as set out in its 2020 Research and Innovation Strategy. As part of this agenda, the university has plans to improve the quality of its research and outputs, grow research impact, engagement and commercialisation, double its research income by 2020 and increase onshore and offshore HDR enrolments and completions.  As our Manager, Research Analytics Services, you will lead and manage the team that undertakes research data collection, management and external/ internal reporting plus systems support and development leading to business intelligence and deep insights that support this research and innovation agenda as well as meeting compliance and government reporting requirements. You will ensure the effective management of people, systems and processes that support and enable the synthesis and analysis of research data that delivers deep insights and business intelligence for the University. You will work closely with other staff and teams in Swinburne Research and the University to support the research enterprise. About you To be successful in the role, you will have: Postgraduate qualifications and extensive relevant experience; or extensive management experience and proven management expertise; or an equivalent combination of relevant experience and/or education/training.Substantial experience and demonstrated expertise in a complex data collection, analysis and reporting role within a large organisation, meeting both internal management and statutory reporting requirements.Excellent organisational and project management in scoping, planning and managing complex projects, preferably in relation to university performance, rankings, management information systems development or other large administrative projects, as well as the ability to prioritise work processes and manage resources to meet agreed standards in a high pressure environment with tight timelines.A full list of the selection criteria is available within the position descriptionBenefits The diverse culture within Swinburne is a source of strength. We have an inclusive working environment with employees from a variety of backgrounds. We acknowledge that diversity in the university workforce increases the effectiveness of teams and our capacity for innovation. We welcome applications from Indigenous people, workers of all ages, people with disabilities, people who identify as LGBTIQ and those from culturally and linguistically diverse backgrounds.  We are proud to be recognised by the Workplace Gender Equality Agency as an Employer of Choice for Gender Equality 2015 and of key initiatives such as our Pride@Swinburne Strategic Action Plan and our Reconciliation Action Plan which are integral components of our 2025 vision to be world class university creating social and economic impact through science, technology and innovation.  As a Swinburne staff member you will have access to many benefits such as career development opportunities including 50% study reduction and staff and management development programs. You will receive up to 17% employer contributions (pension) and various discounts on annual Myki cards, private health insurance and movie tickets. We also recognise the need to support the work/life balance and flexible needs of our staff. As such a range of flexible working arrangements including paid maternity/partner leave, onsite childcare, working from home and part time options are available.  To find out more about the extensive benefits offered to Swinburne employees please visit: http://www.swinburne.edu.au/about/jobs/why-work-at-swinburne/ How to apply To start an application click on apply at the bottom of this page and submit a resume, cover letter and response to the Key Selection Criteria, as listed in the Position Description.  Please do not email or send paper applications, all applications must be submitted online.  For further information about the position, please contact Tania Bezzobs (Executive Director (Research Office) on +613 9214 5268.  If you are experiencing technical difficulties with your application, please contact the Recruitment team on +61 3 9214 8600 (option 2). Position number: 33549Applications close at 5pm on Monday 29th January 2018 Click here to view the position description Opens in new window  Click here to learn more about the university Opens in new window",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=4120&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7015b5f7&cb=1516666741933&jobListingId=2643182280
Manager/ Senior Analyst - Funds Transfer Pricing Analytics - 12 Month Contract, Commonwealth Bank of Australia, – Sydney, 1 days ago,"Manager/ Senior Analyst - Funds Transfer Pricing Analytics - 12 Month Contract Apply now Job no: 996161 Work type: Contract / Secondment Location: Sydney CBD Area Categories: Analytics, Risk Management & ComplianceAbout the team The Funds Transfer Pricing team within Portfolio & Market Risk Management is responsible for the development and maintenance of the funds transfer pricing framework, recommending funding and liquidity cost allocations and promoting the consistent use of the methodologies throughout the Group.  The team provides shareholder value add by providing the mechanism for allocation of cost-of-funds/worth-of-funds to the customer facing business units. About the Opportunity Reporting to the Head of Funds Transfer Pricing, you will contribute to the methodological / quantitative development and maintenance of the models used to CBA’s funds Transfer Pricing Methodology.  This includes valuation functions (and associated numerical solutions to these models) and customer behavioural analytics supporting transfer pricing.  This role will focus on delivering value adding analytics and analysis by communicating in a clear and consultative way across the Group. What does success look like?You will be providing recommendations, analysis and commentary for reports to senior management, ALCO, EXCO and the Board as and when required.Further developing and maintaining the FTP framework. The work will include: Developing and maintaining tools used in the analysis of customer behavioural analysis.Improving the utilisation of the Bank’s key treasury analytical tools, GTRS/CTS and KRM.Supporting the activities of the Transfer Pricing team in respect of: (a) model validation, including test design and documentation of results; (b) parameter estimation; (c) sensitivity analysis; (d) stress test design; (e) back-testing; (f) documentation of modelling techniques and (g) documentation of models.Ensuring policy and (both procedural and methodology) documentation is up-to-date and meets internal Group governance standards and associated regulatory/external audit requirementsImprove the robustness of the framework and its implementation through developments to ensure data integrity and reduction of potential error rates; andContinuous improvements to meet customer needs on accuracy, responsiveness, clarity and timeliness.What will help you succeed?At least 2 years banking experienceProven experience using SQL and data mining practicesKnowledge of CBA’s General Ledger or more general accounting practicesSAS/MatLab/R and other programming languagesFamiliarity with regulatory standards would be beneficial (especially APS 210: Liquidity)The people, businesses and communities we serve are wonderfully diverse. To reflect this, we’re committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we’ll support you at every stage of your career.Advertised: 22 Jan 2018 AUS Eastern Daylight Time Applications close: 26 Jan 2018 AUS Eastern Daylight Time  Apply now Send to a friend  Back to search results",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=4120&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_16a6e4dd&cb=1516666741935&jobListingId=2642864541
Data Engineer, Teradata, – North Sydney, 1 days ago," Provide technical leadership to clients in a  team that designs and develops pathbreaking large-scale cluster data processing  systems. Mentor sophisticated organizations on large-scale data and analytics  and work with client teams to deliver results. Additionally the Senior Data  Engineer assists Think Big Analytics establish thought leadership in the big  data industry by contributing white papers, technical commentary and  representing the company at industry conferences. Secondary Responsibilities:Designing and developing code, scripts and data pipelines that leverage structured and unstructured data integrated from  multiple sources Software installation and configurationParticipating in and helping lead requirements and design workshops with our clients Developing project deliverable documentation Leading small teams of developers and coordinating development activities. Mentoring junior members of the team in software development best practices Experience with Linux, SQL, NoSQL, relational database design and methods for efficiently retrieving data, strongly  desired. Other duties as assignedJob Qualifications: Must have 4-10 years experience programming in  Java, Python or C/C , demonstrate proven expertise in production software  development. Must be proficient in Linux, SQL, relational database design and  methods for efficiently retrieving data. Must also have experience building  complex and non-interactive systems (batch, distributed, etc.) Must have strong  analytical skills and be a creative problem-solver. Must possess excellent  verbal and written communications skills and be a strong team player capable of  working in a demanding start-up environment. #LI-GA1Preferred Knowledge, Skills and Abilities: Prior consulting experience is strongly desired.  Proficient in NoSQL is strongly desired. Experience with Hadoop, Hive, Pig,  Avro, Thrift, Protobufs as well as JMS: ActiveMQ, RabbitMQ, JBoss, etc. Dynamic  and/or functional languages experience such as Python, Ruby, Scala, and Clojure  are also desirable. Experience designing and tuning high performance systems  and prior experience with data warehousing and business intelligence systems. A  professional or academic background that includes mathematics, statistics,  machine learning and data mining is a plus. Prior work and/or research  experience with unstructured data and data modeling as well as familiarity with  different development methodologies (e.g. agile, waterfall, XP, scrum,  etc.) Job Abilities: Must be able to travel to client sites at least 50 of the time. Must be able to interact and communicate with the client in  meetings. Must be able to write programming code in applicable languages. Must  be able to write project documentation in English. Education: BS or MS in Computer Science (or related field)  or equivalent work experience.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=292798&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bd4189f8&cb=1516666741936&jobListingId=2596853195
Data Engineer, Capgemini, – Melbourne, 4 days ago,"About the RoleDevelop Big Data processing pipelines in Hortonworks platform using Spark (with Scala) and Hive for creation of metrics and dimensions to support BI needsBuild reusable code, libraries, patterns and consumable frameworks for data sourcing, staging, transform, conforming and extractionEnsure adherence to standards in areas of code quality, logging, exception management, operability and performanceUnit testing and deployment into SIT and ProductionCollaborate with Business Analyst to clarify business requirementsCollaborate with Technical lead and Architects to adherence to development standardsCollaborate with project managers for project/sprint planning by estimating technical tasks and deliverablesContribute and provide support to all Big Data initiativesDesired Skills and ExperienceMinimum 5 years of experience with 2+ years of design and hands-on development in Big data systems using Spark, Pig, Hive, MapReduce, SparkSQL, Apache Nifi, Kakfa etcMinimum 2 years of hands-on experience in Scala programming for building Spark application – using RDDs, Dataframe APIsMinimum of 2 years of hands-on experience with Unix/Linux shell scriptingExperience in various Data Ingestions technologies – Apache NiFi, Kakfa, Scoop etcKnowledge of NoSQL databases like Hbase, Mongo, Marklogic etcKnowledge of Data warehouse and analytical technologies in the industry including MPP databases, Data Warehouse design, BI reporting and Dashboard development.Hadoop or Spark Developer Certification (Nice to Have)Experience in Telecom Domain and geospatial data is highly desirableExperience in working in a fast-paced Agile environmentStrong problem solving and troubleshooting skillsExcellent customer-facing communication skillsWhat we can offer you? Working at Capgemini you’ll find the rewards are more than just financial. Not only will you work alongside inspiring colleagues with a world of experience but you will also have access to great benefits including, salary continuance insurance, paid parental leave, education assistance, salary packaging, the ability to purchase additional leave, as well as, discounts on entertainment, financial and wellbeing services, travel and shopping. About Capgemini Capgemini is one of the world’s foremost providers of consulting, technology, outsourcing services and local professional services. Present in over 40 countries with more than 180,000 people, the Capgemini Group helps its clients transform in order to improve their performance and competitive positioning.  Ranked among Ethisphere’s 2015 Most Ethical Companies in the Word. Our seven values are at the heart of everything we do – Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty.  If you believe you have “La Niaque” to go the extra mile, then apply by submitting your resume and cover letter.  Want to know more? To learn more about Capgemini and find out about what makes our people unique, log onto www.capgemini.com.au  Proof of work entitlements and visa status will be required prior or at offer time. Successful applicants will be required to complete a Criminal Record and Reference checks prior to commencement of employment.  Apply now",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=206315&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1f57fc12&cb=1516666741936&jobListingId=2640066694
